"","treatment","groupID","round","contribution","endowment","share","stock","gain","bot_active","disaster","EWE","noComprehension"
"235","Hi000","Hi000_31",5,30.5,59.25,0.520444675560374,74.75,15.5,0,0,0,0
"236","Hi000","Hi000_31",6,38.25,74.75,0.519270941682269,94.5,19.75,0,0,0,0
"237","Hi000","Hi000_31",7,34.75,94.5,0.357508969902549,112.75,18.25,0,0,0,0
"238","Hi000","Hi000_31",8,45,112.75,0.398245647520848,135.75,23,0,0,0,0
"239","Hi000","Hi000_31",9,54.5,135.75,0.401291684557034,163.25,27.5,0,0,0,0
"240","Hi000","Hi000_31",10,51.25,163.25,0.313345382020769,189,25.75,0,0,0,0
"241","Hi000","Hi000_32",1,13,20,0.65,27,7,0,0,0,1
"242","Hi000","Hi000_32",2,18.25,27,0.682638888888889,36.75,9.75,0,0,0,1
"243","Hi000","Hi000_32",3,21.25,36.75,0.571536796536797,47.5,10.75,0,0,0,1
"244","Hi000","Hi000_32",4,27.75,47.5,0.581965394853594,61.75,14.25,0,0,0,1
"245","Hi000","Hi000_32",5,33.5,61.75,0.542822338830585,79.25,17.5,0,0,0,1
"246","Hi000","Hi000_32",6,36.5,79.25,0.456054143706325,97.75,18.5,0,0,0,1
"247","Hi000","Hi000_32",7,46,97.75,0.468022299521593,120.75,23,0,0,0,1
"248","Hi000","Hi000_32",8,54,120.75,0.446872067326613,147.75,27,0,0,0,1
"249","Hi000","Hi000_32",9,46.75,147.75,0.313523066093693,172,24.25,0,0,0,1
"250","Hi000","Hi000_32",10,61,172,0.356121619357895,203,31,0,0,0,1
"251","Hi000","Hi000_33",1,14,20,0.7,27,7,0,0,0,0
"252","Hi000","Hi000_33",2,14,27,0.527055524657026,34,7,0,0,0,0
"253","Hi000","Hi000_33",3,18,34,0.519463348797714,43,9,0,0,0,0
"254","Hi000","Hi000_33",4,24.75,43,0.573145071982281,56.25,13.25,0,0,0,0
"255","Hi000","Hi000_33",5,27,56.25,0.474475485614691,70.25,14,0,0,0,0
"256","Hi000","Hi000_33",6,33.25,70.25,0.472396478157739,87,16.75,0,0,0,0
"257","Hi000","Hi000_33",7,28.75,87,0.331494569528782,102.25,15.25,0,0,0,0
"258","Hi000","Hi000_33",8,36.5,102.25,0.359420277599251,120.75,18.5,0,0,0,0
"259","Hi000","Hi000_33",9,42,120.75,0.350180043596705,141.75,21,0,0,0,0
"260","Hi000","Hi000_33",10,39.25,141.75,0.279985698158265,161.5,19.75,0,0,0,0
"261","Hi000","Hi000_34",1,15.25,20,0.7625,27.75,7.75,0,0,0,0
"262","Hi000","Hi000_34",2,17.25,27.75,0.625859728506787,36.5,8.75,0,0,0,0
"263","Hi000","Hi000_34",3,24.25,36.5,0.665823552408918,49.25,12.75,0,0,0,0
"264","Hi000","Hi000_34",4,25.25,49.25,0.509122725871107,62,12.75,0,0,0,0
"265","Hi000","Hi000_34",5,32.5,62,0.530020703933747,78.5,16.5,0,0,0,0
"266","Hi000","Hi000_34",6,38.25,78.5,0.481888369025114,98.25,19.75,0,0,0,0
"267","Hi000","Hi000_34",7,33,98.25,0.33376967819631,115.25,17,0,0,0,0
"268","Hi000","Hi000_34",8,35.75,115.25,0.31024622374043,133.5,18.25,0,0,0,0
"269","Hi000","Hi000_34",9,48.5,133.5,0.36397074456776,158,24.5,0,0,0,0
"270","Hi000","Hi000_34",10,54.25,158,0.344536463269422,185.75,27.75,0,0,0,0
"271","Hi000","Hi000_35",1,12.5,20,0.625,26.5,6.5,0,0,0,1
"272","Hi000","Hi000_35",2,16.75,26.5,0.615013227513228,35.75,9.25,0,0,0,1
"273","Hi000","Hi000_35",3,23.75,35.75,0.667371177046138,48,12.25,0,0,0,1
"274","Hi000","Hi000_35",4,24.25,48,0.50462962962963,60.75,12.75,0,0,0,1
"275","Hi000","Hi000_35",5,30,60.75,0.495199283751659,75.75,15,0,0,0,1
"276","Hi000","Hi000_35",6,37.75,75.75,0.489582687658836,95,19.25,0,0,0,1
"277","Hi000","Hi000_35",7,42.5,95,0.45051447566648,116.5,21.5,0,0,0,1
"278","Hi000","Hi000_35",8,50.25,116.5,0.433322177100847,142.25,25.75,0,0,0,1
"279","Hi000","Hi000_35",9,49.25,142.25,0.34828258942183,167,24.75,0,0,0,1
"280","Hi000","Hi000_35",10,52.5,167,0.313801418901328,193.5,26.5,0,0,0,1
"281","Hi000","Hi000_36",1,12.5,20,0.625,26.5,6.5,0,0,0,0
"282","Hi000","Hi000_36",2,17.25,26.5,0.657688145188145,35.25,8.75,0,0,0,0
"283","Hi000","Hi000_36",3,20.75,35.25,0.577192940348182,46.5,11.25,0,0,0,0
"284","Hi000","Hi000_36",4,26.5,46.5,0.566863042223322,60,13.5,0,0,0,0
"285","Hi000","Hi000_36",5,30.75,60,0.50683023872679,76.25,16.25,0,0,0,0
"286","Hi000","Hi000_36",6,33.5,76.25,0.439966922388959,93.75,17.5,0,0,0,0
"287","Hi000","Hi000_36",7,40.25,93.75,0.430072071648159,114.5,20.75,0,0,0,0
"288","Hi000","Hi000_36",8,42.75,114.5,0.379899728397902,136.75,22.25,0,0,0,0
"289","Hi000","Hi000_36",9,46.25,136.75,0.335139067534353,160.5,23.75,0,0,0,0
"290","Hi000","Hi000_36",10,41,160.5,0.255123969597654,181.5,21,0,0,0,0
"291","Hi000","Hi000_37",1,14,20,0.7,27,7,0,0,0,0
"292","Hi000","Hi000_37",2,17.5,27,0.648995037220844,36.5,9.5,0,0,0,0
"293","Hi000","Hi000_37",3,20.75,36.5,0.578142252484358,47.75,11.25,0,0,0,0
"294","Hi000","Hi000_37",4,28,47.75,0.583993902439024,61.75,14,0,0,0,0
